time,target,value
47.8607401619484,move,20t31,S2toC,1.763162750750689
47.8607401619484,shvl_busy2,0
48.122634214323334,shvl_trv0,0
48.122634214323334,shvl_q0,1
48.122634214323334,shvl_q0,0
48.122634214323334,shvl_busy0,20t12
48.5102474624428,crush_trv,1
48.5102474624428,crush_q,5
49.264968878793546,shvl_trv0,1
49.264968878793546,move,50t13,CtoS0,3.820722404434274
49.264968878793546,crush_busy,0
49.264968878793546,crush_q,4
49.264968878793546,crush_busy,50t33
49.62390291269909,crush_trv,0
49.62390291269909,crush_q,5
52.941021077307035,crush_trv,1
52.941021077307035,move,20t12,S0toC,2.593142916461104
52.941021077307035,shvl_busy0,0
53.08569128322782,shvl_trv0,0
53.08569128322782,shvl_q0,1
53.08569128322782,shvl_q0,0
53.08569128322782,shvl_busy0,50t13
53.998155914124325,shvl_trv2,1
53.998155914124325,move,50t33,CtoS2,2.142990337844364
53.998155914124325,crush_busy,0
53.998155914124325,crush_q,4
53.998155914124325,crush_busy,20t32
54.54745219084004,crush_trv,2
54.54745219084004,move,50t23,S1toC,1.0838255207632037
54.54745219084004,shvl_busy1,0
55.53416399376814,crush_trv,1
55.53416399376814,crush_q,5
55.631277711603246,crush_trv,0
55.631277711603246,crush_q,6
55.65095546088718,shvl_trv2,2
55.65095546088718,move,20t32,CtoS2,2.3153539837849673
55.65095546088718,crush_busy,0
55.65095546088718,crush_q,5
55.65095546088718,crush_busy,50t23
56.14114625196869,shvl_trv2,1
56.14114625196869,shvl_q2,1
56.14114625196869,shvl_q2,0
56.14114625196869,shvl_busy2,50t33
57.96630944467215,shvl_trv2,0
57.96630944467215,shvl_q2,1
59.03686817335098,shvl_trv1,1
59.03686817335098,move,50t23,CtoS1,1.0549563422089172
59.03686817335098,crush_busy,0
59.03686817335098,crush_q,4
59.03686817335098,crush_busy,20t21
60.0918245155599,shvl_trv1,0
60.0918245155599,shvl_q1,1
60.0918245155599,shvl_q1,0
60.0918245155599,shvl_busy1,50t23
60.72003789070984,shvl_trv1,1
60.72003789070984,move,20t21,CtoS1,0.921507727021379
60.72003789070984,crush_busy,0
60.72003789070984,crush_q,3
60.72003789070984,crush_busy,20t22
61.64154561773122,shvl_trv1,0
61.64154561773122,shvl_q1,1
62.53814645193636,shvl_trv1,1
62.53814645193636,move,20t22,CtoS1,1.0075276531336348
62.53814645193636,crush_busy,0
62.53814645193636,crush_q,2
62.53814645193636,crush_busy,20t11
63.54567410507,shvl_trv1,0
63.54567410507,shvl_q1,2
64.5703060975737,shvl_trv0,1
64.5703060975737,move,20t11,CtoS0,3.656925217970698
64.5703060975737,crush_busy,0
64.5703060975737,crush_q,1
64.5703060975737,crush_busy,20t31
65.4246369454011,crush_trv,1
65.4246369454011,move,50t33,S2toC,2.42029594953254
65.4246369454011,shvl_busy2,0
65.4246369454011,shvl_q2,0
65.4246369454011,shvl_busy2,20t32
66.55285314590984,shvl_trv2,1
66.55285314590984,move,20t31,CtoS2,2.3315049283603035
66.55285314590984,crush_busy,0
66.55285314590984,crush_q,0
66.55285314590984,crush_busy,20t12
67.84493289493365,crush_trv,0
67.84493289493365,crush_q,1
68.2272313155444,shvl_trv0,0
68.2272313155444,shvl_q0,1
68.36773391956534,shvl_trv0,1
68.36773391956534,move,20t12,CtoS0,3.646189278626246
68.36773391956534,crush_busy,0
68.36773391956534,crush_q,0
68.36773391956534,crush_busy,50t33
68.88435807427014,shvl_trv2,0
68.88435807427014,shvl_q2,1
69.60507230162509,crush_trv,1
69.60507230162509,move,50t13,S0toC,3.2715719821833464
69.60507230162509,shvl_busy0,0
69.60507230162509,shvl_q0,0
69.60507230162509,shvl_busy0,20t11
69.65186525921361,crush_trv,2
69.65186525921361,move,20t32,S2toC,1.9122403255044718
69.65186525921361,shvl_busy2,0
69.65186525921361,shvl_q2,0
69.65186525921361,shvl_busy2,20t31
71.36778843230421,shvl_trv2,1
71.36778843230421,move,50t33,CtoS2,1.9582081687991453
71.36778843230421,crush_busy,0
71.56410558471808,crush_trv,1
71.56410558471808,crush_q,1
71.56410558471808,crush_q,0
71.56410558471808,crush_busy,20t32
72.01392319819159,shvl_trv0,0
72.01392319819159,shvl_q0,1
72.3273499647937,crush_trv,2
72.3273499647937,move,50t23,S1toC,0.9680834316858387
72.3273499647937,shvl_busy1,0
72.3273499647937,shvl_q1,1
72.3273499647937,shvl_busy1,20t21
72.87664428380843,crush_trv,1
72.87664428380843,crush_q,1
73.29543339647954,crush_trv,0
73.29543339647954,crush_q,2
73.32599660110336,shvl_trv2,0
73.32599660110336,shvl_q2,1
73.39682020076835,shvl_trv2,1
73.39682020076835,move,20t32,CtoS2,1.9076570985474293
73.39682020076835,crush_busy,0
73.39682020076835,crush_q,1
73.39682020076835,crush_busy,50t13
73.47803417466558,crush_trv,1
73.47803417466558,move,20t31,S2toC,2.1529139175338505
73.47803417466558,shvl_busy2,0
73.47803417466558,shvl_q2,0
73.47803417466558,shvl_busy2,50t33
75.15062403135387,crush_trv,2
75.15062403135387,move,20t11,S0toC,2.9713657588797613
75.15062403135387,shvl_busy0,0
75.15062403135387,shvl_q0,0
75.15062403135387,shvl_busy0,20t12
75.30447729931578,shvl_trv2,0
75.30447729931578,shvl_q2,1
75.63094809219943,crush_trv,1
75.63094809219943,crush_q,2
77.2784599346081,shvl_trv0,1
77.2784599346081,move,50t13,CtoS0,3.072254000824938
77.2784599346081,crush_busy,0
77.2784599346081,crush_q,1
77.2784599346081,crush_busy,50t23
78.12198979023363,crush_trv,0
78.12198979023363,crush_q,2
78.911891063928,crush_trv,1
78.911891063928,move,20t21,S1toC,0.9586900600546151
78.911891063928,shvl_busy1,0
78.911891063928,shvl_q1,0
78.911891063928,shvl_busy1,20t22
79.19918851374504,crush_trv,2
79.19918851374504,move,20t12,S0toC,2.5606165494158017
79.19918851374504,shvl_busy0,0
79.87058112398262,crush_trv,1
79.87058112398262,crush_q,3
80.35071393543303,shvl_trv0,0
80.35071393543303,shvl_q0,1
80.35071393543303,shvl_q0,0
80.35071393543303,shvl_busy0,50t13
80.77312331820534,shvl_trv1,1
80.77312331820534,move,50t23,CtoS1,1.3419706452542053
80.77312331820534,crush_busy,0
80.77312331820534,crush_q,2
80.77312331820534,crush_busy,20t31
81.75980506316084,crush_trv,0
81.75980506316084,crush_q,3
82.11509396345954,shvl_trv1,0
82.11509396345954,shvl_q1,1
82.5371578488513,crush_trv,1
82.5371578488513,move,20t22,S1toC,1.062351235257844
82.5371578488513,shvl_busy1,0
82.5371578488513,shvl_q1,0
82.5371578488513,shvl_busy1,50t23
83.1523242803945,shvl_trv2,1
83.1523242803945,move,20t31,CtoS2,2.428607915552536
83.1523242803945,crush_busy,0
83.1523242803945,crush_q,2
83.1523242803945,crush_busy,20t11
83.59950908410914,crush_trv,0
83.59950908410914,crush_q,3
84.66748333922278,shvl_trv0,1
84.66748333922278,move,20t11,CtoS0,4.204299365536674
84.66748333922278,crush_busy,0
84.66748333922278,crush_q,2
84.66748333922278,crush_busy,20t21
85.25885392324848,crush_trv,1
85.25885392324848,move,50t33,S2toC,1.9948112800581823
85.25885392324848,shvl_busy2,0
85.25885392324848,shvl_q2,0
85.25885392324848,shvl_busy2,20t32
85.58093219594703,shvl_trv2,0
85.58093219594703,shvl_q2,1
87.18552749894204,shvl_trv1,1
87.18552749894204,move,20t21,CtoS1,1.626233918458035
87.18552749894204,crush_busy,0
87.18552749894204,crush_q,1
87.18552749894204,crush_busy,20t12
87.25366520330667,crush_trv,0
87.25366520330667,crush_q,2
88.81176141740008,shvl_trv1,0
88.81176141740008,shvl_q1,1
88.85569199755807,shvl_trv0,2
88.85569199755807,move,20t12,CtoS0,2.7546648940842258
88.85569199755807,crush_busy,0
88.85569199755807,crush_q,1
88.85569199755807,crush_busy,50t33
88.87178270475945,shvl_trv0,1
88.87178270475945,shvl_q0,1
89.45304551106628,crush_trv,1
89.45304551106628,move,50t13,S0toC,3.212071541028566
89.45304551106628,shvl_busy0,0
89.45304551106628,shvl_q0,0
89.45304551106628,shvl_busy0,20t11
91.6103568916423,shvl_trv0,0
91.6103568916423,shvl_q0,1
92.28641874462522,crush_trv,2
92.28641874462522,move,50t23,S1toC,1.0852610258090991
92.28641874462522,shvl_busy1,0
92.28641874462522,shvl_q1,0
92.28641874462522,shvl_busy1,20t21
92.66511705209484,crush_trv,1
92.66511705209484,crush_q,2
93.37167977043433,crush_trv,0
93.37167977043433,crush_q,3
93.78123959105233,shvl_trv2,1
93.78123959105233,move,50t33,CtoS2,2.0792796229908705
93.78123959105233,crush_busy,0
93.78123959105233,crush_q,2
93.78123959105233,crush_busy,50t13
93.89898220370291,crush_trv,1
93.89898220370291,move,20t32,S2toC,1.9253042980280748
93.89898220370291,shvl_busy2,0
93.89898220370291,shvl_q2,0
93.89898220370291,shvl_busy2,20t31
95.03955494434594,crush_trv,2
95.03955494434594,move,20t11,S0toC,4.020637925889979
95.03955494434594,shvl_busy0,0
95.03955494434594,shvl_q0,0
95.03955494434594,shvl_busy0,20t12
95.824286501731,crush_trv,1
95.824286501731,crush_q,3
95.8605192140432,shvl_trv2,0
95.8605192140432,shvl_q2,1
96.7514713450116,shvl_trv0,1
96.7514713450116,move,50t13,CtoS0,3.9003786685899406
96.7514713450116,crush_busy,0
96.7514713450116,crush_q,2
96.7514713450116,crush_busy,50t23
97.73531895252444,crush_trv,2
97.73531895252444,move,20t21,S1toC,0.8938978465232091
97.73531895252444,shvl_busy1,0
98.1229827027125,crush_trv,3
98.1229827027125,move,20t31,S2toC,2.4970360341780933
98.1229827027125,shvl_busy2,0
98.1229827027125,shvl_q2,0
98.1229827027125,shvl_busy2,50t33
98.62921679904764,crush_trv,2
98.62921679904764,crush_q,3
99.06019287023591,crush_trv,1
99.06019287023591,crush_q,4
